@relation 'wavelet_glcm_hsv_hu_lbp-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute '0.3  f10+0.291f9+0.287f3+0.286f4+0.268f6...' numeric
@attribute '0.345f1+0.324f26-0.303f29+0.3  f7+0.286f2...' numeric
@attribute '-0.453f5+0.429f18+0.38 f31+0.329f11+0.302f13...' numeric
@attribute 0.554f25-0.453f17+0.289f26-0.245f21+0.244f5... numeric
@attribute 0.518f18+0.462f31+0.348f17-0.301f11-0.292f12... numeric
@attribute 0.693f15-0.648f14-0.284f16+0.078f12-0.061f18... numeric
@attribute -0.91f16+0.407f14+0.043f11-0.038f13-0.037f8... numeric
@attribute -0.704f15-0.629f14-0.291f16-0.083f7-0.066f11... numeric
@attribute '0.47 f7+0.396f10-0.384f8+0.287f5+0.253f18...' numeric
@attribute '0.756f11-0.552f13-0.249f12+0.188f21+0.1  f28...' numeric
@attribute 0.745f21+0.364f28-0.286f11+0.205f26-0.174f7... numeric
@attribute -0.764f12+0.578f13-0.166f8+0.132f11+0.086f7... numeric
@attribute 0.685f7+0.495f8+0.218f26+0.211f9-0.179f1... numeric
@attribute class {Highway,Pasture,Residential,River}

@data
3.331241,-0.617189,-2.197192,0.188588,0.145144,0.027767,0.496088,1.884995,-0.612198,0.465838,0.287426,0.933092,-0.670035,Highway
-1.146071,1.303188,-1.157894,1.920823,-0.388897,-1.48191,-0.574703,0.056303,-0.890161,-0.79741,0.890011,-0.342961,0.524529,Highway
-0.958947,0.947484,-1.117358,2.180687,2.392876,1.162976,0.482481,0.453694,-0.165737,0.770571,0.268833,-0.299901,0.401589,Highway
-1.995062,0.696863,-0.716694,1.236026,2.005712,-1.824124,-0.395456,0.130168,-0.218013,0.423775,0.57243,0.276789,-0.018418,Highway
-0.614138,-0.599385,-1.335784,2.085748,-0.385197,-1.472367,-0.412699,0.314216,0.154977,0.377414,1.486558,-0.520117,-1.790374,Highway
0.727352,-0.459332,0.765278,2.44868,-0.29503,0.374605,0.530204,1.985015,2.092311,-0.624259,0.433226,0.111015,-0.063419,Highway
1.328296,0.049746,-2.033202,1.328008,0.216695,-0.484058,-1.105055,1.202641,0.26804,0.958524,-1.060094,0.243164,-1.04819,Highway
-0.611359,1.508085,0.163122,1.960776,0.599991,-0.33173,-1.411601,1.247699,-0.076362,-1.711946,-1.051166,-0.374943,-0.588283,Highway
-1.342725,-0.172317,2.134371,-0.258384,0.052024,0.365101,1.367647,-0.978277,0.117783,-2.105468,-0.154317,0.388694,-0.489226,Highway
-0.140522,-0.583881,-1.49508,0.558407,1.471371,-0.46839,-0.544457,-1.141741,0.291157,-0.956189,0.847249,0.46697,-0.943527,Highway
-0.296908,1.588063,-0.710334,1.004606,0.453011,-0.328853,-0.37491,-1.429619,-0.206828,1.095389,-0.349587,0.061317,-0.800693,Highway
-1.742744,0.403045,-1.655311,0.650076,0.795959,0.235477,1.180894,-0.680371,-0.519971,-0.706153,0.884928,-0.622387,0.113902,Highway
-2.71565,-1.170216,1.025136,-0.451664,1.820626,0.074531,1.230428,-0.834946,-0.208182,1.202696,0.636085,0.144481,0.597846,Highway
8.704881,-4.479399,-0.055373,2.147998,0.638909,0.279858,0.445531,1.939726,-1.202663,-0.642736,-0.24311,-1.380633,-0.134653,Highway
-2.561696,-1.702979,1.648239,-1.623851,-0.038566,-0.342101,-0.549864,-1.544803,0.037854,-0.034691,1.089119,0.396825,0.253641,Highway
4.506428,-1.398445,-0.463103,1.421514,-0.340581,-0.24044,-1.363862,1.446197,-1.244147,0.087853,0.677505,-1.459312,-2.253664,Highway
-1.595336,0.28621,-0.261731,1.17279,1.254736,0.198216,1.291353,-0.674302,0.868925,-0.925366,0.417251,0.279405,0.002637,Highway
-1.090294,1.534455,0.282593,2.764401,0.955784,-0.305762,-0.392021,-1.358275,0.230846,-0.111116,-0.887098,0.03477,-0.667017,Highway
4.989632,-0.684905,-1.741131,0.486681,0.271401,0.105208,0.51321,1.69566,0.652346,0.176805,-1.079782,-0.269452,-0.002787,Highway
-0.414363,1.657024,-2.181858,0.913653,0.545699,-1.574657,-0.420391,0.009623,-0.672641,0.881824,0.698936,-0.127557,0.054433,Highway
-1.772721,-0.599989,-0.181091,-0.257676,0.234032,-1.17483,1.259712,0.589021,0.075203,-0.476708,0.018816,0.231694,-0.180238,Highway
-0.662404,0.85229,-1.463496,1.391889,1.380828,-0.368048,-0.329722,-1.278908,0.213344,0.832182,-0.447204,-0.559154,-0.431128,Highway
2.502649,0.706802,-1.766019,1.696495,0.088146,-1.71323,-0.348131,-0.02322,1.099147,0.780554,-1.052219,-0.195543,0.035619,Highway
-1.035636,1.48324,-0.841177,2.970214,-0.691621,-1.456562,-0.42462,-0.075456,-0.639364,0.111572,-0.706603,0.082158,0.250681,Highway
-1.017126,1.879598,-1.378781,1.900764,0.426763,-0.379769,-1.347109,1.157688,-0.534688,-1.026507,-0.580204,0.637259,0.524353,Highway
0.327786,1.765112,0.154184,0.345189,-0.051088,1.089636,-1.267725,-0.288534,0.643808,0.109384,0.594484,-0.862883,0.178598,Highway
-2.103211,-0.45808,0.48351,-0.190632,-0.41099,-1.001211,1.281254,0.511092,-1.078388,1.39,1.40928,0.11318,1.286237,Highway
0.264367,2.58372,-1.036672,0.248386,2.249739,-1.854447,-0.487478,-0.077441,-0.298778,-0.208899,0.041571,0.155536,0.059723,Highway
1.897149,1.916241,-0.710599,1.152951,0.140442,-1.789003,-0.535449,-0.194789,0.941611,-1.586069,-1.673672,0.755768,-0.36758,Highway
-2.102515,0.546619,-0.099845,0.595892,2.1592,-1.824904,-0.406331,-0.037121,-0.613282,1.012076,0.084921,0.316016,0.611574,Highway
